,analysis_group,rf_prob_unmed,rf_prob_control,rf_dist_to_control,rf_dist_to_unmed,rf_relative_position,lr_prob_unmed,lr_prob_control,lr_dist_to_control,lr_dist_to_unmed,lr_relative_position,xgb_prob_unmed,xgb_prob_control,xgb_dist_to_control,xgb_dist_to_unmed,xgb_relative_position
1304,0,0.11229079973272121,0.8877092002672788,0.020585603355675053,0.4990705535324426,-0.043022467787273304,0.08755851508282751,0.9124414849171725,0.21987530648627174,0.6060739786532212,-0.5693321140970211,0.0020893498,0.9979107,0.010245111,0.98233044,-0.010539313
1305,0,0.0798148574340212,0.9201851425659788,0.05306154565437507,0.5315464958311427,-0.11089491035145922,0.019054306004558264,0.9809456939954417,0.288379515564541,0.6745781877314905,-0.7467128614048618,0.0028688386,0.99713117,0.009465622,0.98155093,-0.009737439
1306,0,0.08493559128695206,0.915064408713048,0.0479408118014442,0.5264257619782118,-0.10019293560588131,0.12837035030073252,0.8716296496992675,0.17906347126836675,0.5652621434353162,-0.4636563617985708,0.004364006,0.995636,0.007970454,0.98005575,-0.008199336
1307,0,0.18060950186919617,0.8193904981308038,0.0477330987807999,0.43075185139596767,0.0997588299551862,0.39015971347630957,0.6098402865236905,0.0827258919072103,0.30347278025973917,0.21420553168408824,0.012706642,0.98729336,0.00037218165,0.9717131,0.00038286933
1308,0,0.136093896198437,0.863906103801563,0.0032174931100407422,0.4752674570667268,0.006724335026320259,0.4759340152837254,0.5240659847162745,0.16850019371462616,0.21769847845232332,0.4363044356656549,0.017848596,0.9821514,0.0055141356,0.96657115,0.0056724814
1310,0,0.14472743502165686,0.8552725649783431,0.011851031933260592,0.466633918243507,0.024767825882261174,0.3272886523371499,0.6727113476628501,0.019854830768050613,0.36634384139889886,0.05141092447740884,0.011502747,0.98849726,0.00083171297,0.972917,-0.0008555967
1311,0,0.1206071801140062,0.8793928198859938,0.012269222974390065,0.49075417315115766,-0.025641815839468774,0.779789468880657,0.22021053111934297,0.47235564731155777,0.0861569751446083,1.2230897756876895,0.018592127,0.9814079,0.0062576663,0.96582764,0.0064373636
1315,0,0.12753212943077163,0.8724678705692284,0.005344273657624632,0.4838292238343922,-0.011169157265344055,0.14907033664298389,0.8509296633570161,0.15836348492611538,0.5445621570930649,-0.41005704146402805,0.018822111,0.98117787,0.006487651,0.9655976,0.006673952
1317,0,0.1572292888514187,0.8427707111485813,0.02435288576302244,0.4541320644137451,0.050895823900053094,0.19850916957697104,0.8014908304230289,0.10892465199212822,0.49512332415907767,-0.28204305152308057,0.010469901,0.9895301,0.001864559,0.97394985,-0.0019181023
1322,0,0.17758633765876597,0.822413662341234,0.0447099345703697,0.43377501560639786,0.09344062870494135,0.7757265782773455,0.22427342172265452,0.4682927567082462,0.08209408454129674,1.2125695670590197,0.014944762,0.9850552,0.0026103016,0.96947503,0.0026852598
1324,0,0.24585971830568618,0.7541402816943138,0.11298331521728991,0.36550163495947763,0.2361272077116538,0.10468531072611732,0.8953146892738827,0.20274851084298195,0.5889471830099314,-0.5249850024221109,0.03972457,0.9602754,0.02739011,0.9446952,0.028176652
1325,0,0.13334245516704046,0.8666575448329595,0.00046605207864419684,0.47801889809812337,0.000974016170147091,0.39711799757544863,0.6028820024245514,0.08968417600634937,0.2965144961606001,0.2322229009828907,0.012776324,0.9872237,0.0004418632,0.97164345,0.0004545519
1327,0,0.1644689184750189,0.8355310815249811,0.03159251538662264,0.44689243479014495,0.06602614225369337,0.5175798530825271,0.4824201469174729,0.2101460315134278,0.17605264065352166,0.544139704920021,0.012691983,0.987308,0.00035752263,0.9717278,0.00036778935
1329,0,0.09907410611420127,0.9009258938857987,0.033802296974195,0.5122872471509625,-0.07064443084721339,0.5555739120910501,0.4444260879089499,0.24814009052195085,0.13805858164499862,0.6425192741591887,0.013700324,0.9862997,0.0013658637,0.97071946,0.0014050863
1330,0,0.15137306087593447,0.8486269391240655,0.0184966577875382,0.45998829238922934,0.03865671800273958,0.43694403489139594,0.563055965108604,0.12951021332229667,0.2566884588446528,0.3353460864989997,0.019461753,0.98053825,0.0071272925,0.964958,0.0073319618
1331,0,0.07064693579105706,0.9293530642089429,0.062229467297339205,0.5407144174741068,-0.1300552238358796,0.2689175496881112,0.7310824503118888,0.03851627188098805,0.4247149440479375,-0.09973175636486364,0.0033846546,0.99661535,0.008949806,0.9810351,-0.009206811
1332,0,0.11549488734861399,0.884505112651386,0.017381515739782277,0.4958664659165498,-0.036326149303883,0.7011046402795916,0.29889535972040837,0.39367081871049237,0.00747214654354289,1.0193479343199625,0.014804285,0.9851957,0.0024698246,0.96961546,0.0025407488
1333,0,0.13071846535426251,0.8692815346457374,0.0021579377341337524,0.4806428879109013,-0.00450993857452892,0.36149802385983426,0.6385019761401658,0.054064202290735,0.3321344698762145,0.1399906477859759,0.0130243935,0.9869756,0.0006899331,0.9713954,0.0007097454
1337,0,0.12005402107823138,0.8799459789217686,0.01282238201016489,0.49130733218693246,-0.02679787944307944,0.8214138244063484,0.17858617559365164,0.5139800028372491,0.12778133067029962,1.330869420014632,0.005454143,0.9945459,0.0068803173,0.97896564,-0.0070778946
1338,0,0.1370690386121192,0.8629309613878808,0.004192635523722926,0.47429231465304467,0.008762314305129207,0.07606063193740213,0.9239393680625979,0.23137318963169712,0.6175718617986466,-0.5991040526718254,0.01695846,0.9830415,0.004624,0.9674613,0.004756784
1342,0,0.10328585531138437,0.8967141446886157,0.029590547777011894,0.5080754979537795,-0.06184217030458367,0.23460782000478292,0.765392179995217,0.07282600156431634,0.4590246737312658,-0.1885713411589216,0.0039890106,0.996011,0.008345449,0.9804308,-0.0085851
1344,0,0.14100977245038024,0.8589902275496197,0.008133369361983972,0.47035158081478357,0.01699817174809625,0.23639946947756726,0.7636005305224327,0.071034352091532,0.45723302425848145,-0.18393214998114915,0.016853468,0.98314655,0.004519008,0.9675663,0.004648777
1345,0,0.13194866965350574,0.8680513303464943,0.0009277334348905264,0.4794126836116581,-0.0019388978369074977,0.4322541718042673,0.5677458281957327,0.12482035023516802,0.26137832193178145,0.32320243240300306,0.017628305,0.9823717,0.0052938443,0.96679145,0.005445864
1347,0,0.14215172391673764,0.8578482760832624,0.009275320828341371,0.4692096293484262,0.019384770252261378,0.07663239298712747,0.9233676070128726,0.23080142858197178,0.6170001007489213,-0.597623568426457,0.019610355,0.98038965,0.0072758943,0.9648094,0.007484831
1350,0,0.1192475075390639,0.8807524924609361,0.013628895549332373,0.49211384572609995,-0.02848343619647269,0.13855496432276054,0.8614450356772394,0.16887885724633872,0.5550775294132881,-0.437284924618628,0.006857254,0.9931427,0.0054772063,0.9775625,-0.0056344913
1351,0,0.15222578637988318,0.8477742136201168,0.019349383291486916,0.4591355668852807,0.040438854522673366,0.013198977072121924,0.9868010229278781,0.29423484449697734,0.6804335166639268,-0.7618743038292551,0.007836602,0.9921634,0.0044978587,0.9765832,-0.0046270206
1352,0,0.09930096644974626,0.9006990335502537,0.03357543663865001,0.5120603868154175,-0.07017030865076566,0.036855511003926186,0.9631444889960739,0.27057831056517306,0.6567769827321226,-0.7006194740312442,0.005167795,0.9948322,0.0071666655,0.979252,-0.007372466
1353,0,0.12780147144630333,0.8721985285536966,0.005074931642092939,0.4835598818188605,-0.010606251336051632,0.3175912324813928,0.6824087675186072,0.010157410912293552,0.3760412612546559,0.02630099905652346,0.006920207,0.9930798,0.0054142536,0.97749954,-0.005569731
1354,0,0.20524774517463476,0.7947522548253653,0.0723713420862385,0.4061136080905291,0.15125103111289542,0.47930499924826997,0.52069500075173,0.1718711776791707,0.21432749448777877,0.4450330621666992,0.013071253,0.98692876,0.0007367926,0.9713485,0.00075795053
1357,0,0.11599915532976728,0.8840008446702328,0.01687724775862899,0.49536219793539654,-0.035272264576752095,0.66520101341967,0.33479898658033,0.3577671918505707,0.028431480316378765,0.9263812064478354,0.008239339,0.9917607,0.0040951213,0.97618043,-0.004212718
1359,0,0.05375145714685468,0.9462485428531453,0.0791249459415416,0.5576098961183091,-0.1653655896853398,0.0015249999596345537,0.9984750000403655,0.3059088216094647,0.6921074937764142,-0.7921022097072971,0.0025987383,0.99740124,0.009735722,0.981821,-0.010015296
1361,0,0.09026072855236661,0.9097392714476333,0.04261567453602966,0.5211006247127972,-0.08906377205863229,0.03952126634061215,0.9604787336593879,0.2679125552284871,0.6541112273954366,-0.6937169248284506,0.006454047,0.99354595,0.0058804136,0.9779657,-0.0060492773
1362,0,0.12272438879047862,0.8772756112095214,0.01015201429791765,0.4886369644746852,-0.021216998139998285,0.39438776218975635,0.6056122378102436,0.08695394062065709,0.2992447315462924,0.22515339095487064,0.0065073483,0.99349266,0.005827112,0.9779124,-0.005994445
1363,0,0.1121283886386478,0.8878716113613522,0.02074801444974847,0.499232964626516,-0.04336189558748607,0.12662976123548075,0.8733702387645192,0.1808040603336185,0.567002732500568,-0.46816334017704464,0.012561198,0.9874388,0.00022673793,0.97185856,0.00023324901
1365,0,0.1256139666048416,0.8743860333951584,0.0072624364835546795,0.48574738666032224,-0.01517798309199005,0.17801501593656055,0.8219849840634394,0.1294188056325387,0.5156174777994882,-0.3351094008334456,0.0076634707,0.9923365,0.0046709897,0.9767563,-0.0048051234
